Model,R2,MAE,MSE,RMSE,MAPE
Lasso (Best) Test,0.808,1.285,3.59,1.895,1256853367449254.2
Random Forest (Best) Test,0.798,1.228,3.777,1.943,1003362785099188.6
ElasticNet (Best) Test,0.797,1.215,3.811,1.952,1445881064994864.2
Ridge (Best) Test,0.779,1.442,4.147,2.037,1213195464681660.5
Linear Regression Test,0.775,1.507,4.218,2.054,1324935146298565.8
Random Forest (Best) Train,0.976,0.374,0.515,0.718,325211578507734.1
Linear Regression Train,0.869,1.168,2.78,1.667,1598308527564983.8
Ridge (Best) Train,0.868,1.162,2.817,1.679,1588222900353173.8
Lasso (Best) Train,0.858,1.097,3.031,1.741,1799605241597554.5
ElasticNet (Best) Train,0.811,1.149,4.017,2.004,2118939594740904.0
